N    F(N)                   Iterative(ns)          Recursive(ns)         
------------------------------------------------------------------------
1    1                      2.57                   0.00                  
2    1                      2.96                   0.00                  
3    2                      5.32                   0.00                  
4    3                      7.29                   0.00                  
5    5                      8.91                   0.00                  
6    8                      8.84                   0.00                  
7    13                     10.83                  0.00                  
8    21                     11.30                  0.00                  
9    34                     12.06                  0.00                  
10   55                     13.31                  0.00                  
11   89                     14.57                  1000.00               
12   144                    15.85                  1000.00               
13   233                    17.99                  1000.00               
14   377                    18.59                  2000.00               
15   610                    20.43                  3000.00               
16   987                    21.00                  4000.00               
17   1597                   22.84                  6000.00               
18   2584                   24.03                  11000.00              
19   4181                   26.24                  17000.00              
20   6765                   26.22                  27000.00              
21   10946                  35.63                  111000.00             
22   17711                  30.18                  69000.00              
23   28657                  31.95                  111000.00             
24   46368                  33.15                  181000.00             
25   75025                  34.43                  291000.00             
26   121393                 35.43                  476000.00             
27   196418                 36.99                  780000.00             
28   317811                 37.49                  1268000.00            
29   514229                 39.02                  2008000.00            
30   832040                 40.47                  3254000.00            
31   1346269                42.57                  5253000.00            
32   2178309                42.64                  8519000.00            
33   3524578                44.88                  13965000.00           
34   5702887                49.64                  22665000.00           
35   9227465                48.49                  36452000.00           
36   14930352               57.57                  89724000.00           
37   24157817               58.55                  98673000.00           
38   39088169               61.32                  155118000.00          
39   63245986               60.09                  267993000.00          
40   102334155              61.23                  406813000.00          
41   165580141              62.81                  657717000.00          
42   267914296              64.35                  1063751000.00         
43   433494437              65.16                  1720232000.00         
44   701408733              66.92                  2801882000.00         
45   1134903170             69.76                  4690821000.00         
